key;section;texte;texte_en;texte_en;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.pythium_note_prefix;DiagBox Gazon Notes;* ;[EN] * ;*;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.pythium_note_suffix_detail;DiagBox Gazon Notes;: Pythium aphanidermatum; P. arrhenomanes; P. aristosporum; P. torulosum; P. graminicola; P. tardicrescens; P. periilum; P. catenulatum.;[EN] : Pythium aphanidermatum; P. arrhenomanes; P. aristosporum; P. torulosum; P. graminicola; P. tardicrescens; P. periilum; P. catenulatum.;: Pythium aphanidermatum; P. arrhenomanes; P. aristosporum; P. torulosum; P. graminicola; P. tardicrescens; P. periilum; P. catenulatum.;;;;;;
diagbox.gazon.qna_intro.q1_sub1_PF000011;Gazon Q&A Intros;pour un contrôle rapide sur toute l'étendue du gazon;[EN] pour un contrôle rapide sur toute l'étendue du gazon;for quick control over the entire lawn area;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.qna_intro.q1_sub1_PF000016;Gazon Q&A Intros;pour un contrôle ciblé sur des portions du gazon;[EN] pour un contrôle ciblé sur des portions du gazon;for targeted control on portions of the lawn;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.qna_intro.q1_sub2_PF000013;Gazon Q&A Intros;pour un contrôle rapide sur toute l'étendue du gazon;[EN] pour un contrôle rapide sur toute l'étendue du gazon;for quick control over the entire lawn area;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.qna_intro.q1_sub2_PF000018;Gazon Q&A Intros;pour un contrôle ciblé sur des portions du gazon en été;[EN] pour un contrôle ciblé sur des portions du gazon en été;for targeted control on sections of the lawn in summer;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.qna_intro.q1_sub2_PF000019;Gazon Q&A Intros;pour un contrôle ciblé sur des portions du gazon en hivers;[EN] pour un contrôle ciblé sur des portions du gazon en hivers;for targeted control on sections of the lawn in winter;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.qna_intro.q1_sub3_PF000015;Gazon Q&A Intros;pour un contrôle rapide sur toute l'étendue du gazon;[EN] pour un contrôle rapide sur toute l'étendue du gazon;for quick control over the entire lawn area;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.qna_intro.q1_sub3_PF000020;Gazon Q&A Intros;pour un contrôle ciblé sur des portions du gazon;[EN] pour un contrôle ciblé sur des portions du gazon;for targeted control on portions of the lawn;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.qna_intro.q1_sub4_PF000048;Gazon Q&A Intros;pour contrôler l'état des racines;[EN] pour contrôler l'état des racines;to check the condition of the roots;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.qna_intro.q1_sub5_PF000047;Gazon Q&A Intros;pour contrôler l'état du sol;[EN] pour contrôler l'état du sol;to check the condition of the soil;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.qna_intro.q2_sub1_PF000033;Gazon Q&A Intros;pour analyser la présence des pathogènes d'été sur un gazon symptomatique;[EN] pour analyser la présence des pathogènes d'été sur un gazon symptomatique;to analyze the presence of summer pathogens on symptomatic lawns;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.qna_intro.q2_sub1_PF000035;Gazon Q&A Intros;pour une analyse à large spectre d'un gazon symptomatique;[EN] pour une analyse à large spectre d'un gazon symptomatique;for a broad spectrum analysis of a symptomatic lawn;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.qna_intro.q3_PF000050;Gazon Q&A Intros;Pour un état de santé des trois compartiments (sol + racines + gazon) et sécuriser un nouveau plaquage;[EN] Pour un état de santé des trois compartiments (sol + racines + gazon) et sécuriser un nouveau plaquage;For a healthy state of the three compartments (soil + roots + grass) and to secure a new plating;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.qna_intro.q4_PF000049;Gazon Q&A Intros;<b>Suivi conjoint racines et partie aérienne</b>; pour vérifier efficacement l'effet de traitements et/ou pouvoir réagir au plus tôt aux risques de contamination;[EN] <b>Suivi conjoint racines et partie aérienne</b>; pour vérifier efficacement l'effet de traitements et/ou pouvoir réagir au plus tôt aux risques de contamination;<b>Joint monitoring of roots and aerial parts</b>; to effectively check the effect of treatments and/or to be able to react as quickly as possible to risks of contamination;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.qna_intro.q4_PF000050;Gazon Q&A Intros;<b>Accompagnement plaquage</b> : un contrôle complet pour maitriser tous les risques : identifier des pathogènes éventuels dans le substrat avant pose; et réduire les risques d'un apport de pathogènes dans le nouveau plaquage;[EN] <b>Accompagnement plaquage</b> : un contrôle complet pour maitriser tous les risques : identifier des pathogènes éventuels dans le substrat avant pose; et réduire les risques d'un apport de pathogènes dans le nouveau plaquage;<b>Veneering support</b>: a complete check to control all risks: identify potential pathogens in the substrate before installation; and reduce the risks of introducing pathogens into the new veneer;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.racine.catchphrase;DiagBox Gazon;Pensée pour aller chercher les réponses là où tout commence : dans les racines.;[EN] Pensée pour aller chercher les réponses là où tout commence : dans les racines.;Designed to seek answers where it all begins: in the roots.;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.racine.description;DiagBox Gazon;Les DIAGBOX® Racine sont conçus pour analyser le système racinaire. Ces analyses permettent d'identifier et de quantifier les pathogènes présents dans les racines avant l'apparition des symptômes visibles sur la partie aérienne. Vous pouvez ainsi évaluer le risque; suivre l'évolution de la pression pathogène et mesurer l'impact des traitements racinaires (biocontrôle; biostimulants).;[EN] Les DIAGBOX® Racine sont conçus pour analyser le système racinaire. Ces analyses permettent d'identifier et de quantifier les pathogènes présents dans les racines avant l'apparition des symptômes visibles sur la partie aérienne. Vous pouvez ainsi évaluer le risque; suivre l'évolution de la pression pathogène et mesurer l'impact des traitements racinaires (biocontrôle; biostimulants).;DIAGBOX® Racine are designed to analyze the root system. These analyses allow you to identify and quantify pathogens present in the roots before the appearance of visible symptoms on the aerial part. You can thus assess the risk; monitor the evolution of ;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.racine.kits.title;DiagBox Gazon;Kits disponibles (Prélèvement Racine);[EN] Kits disponibles (Prélèvement Racine);Kits available (Root Collection);;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.racine.why_use.point1;DiagBox Gazon;Caractériser et quantifier votre risque : Détecter les pathogènes dans les racines avant symptômes; évaluer le risque.;[EN] Caractériser et quantifier votre risque : Détecter les pathogènes dans les racines avant symptômes; évaluer le risque.;Characterize and quantify your risk: Detect pathogens in roots before symptoms; assess the risk.;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.racine.why_use.point2;DiagBox Gazon;Évaluation de l'efficacité des traitements sur la durée : Mesurer l'impact des produits sur les pathogènes racinaires; ajuster la stratégie.;[EN] Évaluation de l'efficacité des traitements sur la durée : Mesurer l'impact des produits sur les pathogènes racinaires; ajuster la stratégie.;Evaluation of the effectiveness of treatments over time: Measure the impact of products on root pathogens; adjust the strategy.;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.racine.why_use.title;DiagBox Gazon;Pourquoi utiliser la DIAGBOX® Racine ?;[EN] Pourquoi utiliser la DIAGBOX® Racine ?;Why use DIAGBOX® Root?;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.racine_gazon.catchphrase;DiagBox Gazon;Parce que gérer le risque; c'est aussi savoir observer au-dessus et en-dessous.;[EN] Parce que gérer le risque; c'est aussi savoir observer au-dessus et en-dessous.;Because managing risk also means knowing how to look above and below.;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.racine_gazon.description;DiagBox Gazon;Les DIAGBOX® Racine & Gazon sont des kits conçus pour analyser conjointement les racines et les parties aériennes (via déchets de tonte). Cette double approche permet d'évaluer la présence de pathogènes à différents niveaux de la plante. Vous obtenez une vision globale de l'état sanitaire de votre pelouse. Rappel : Cette offre regroupe les kits Racine (PF000048) et Déchets de tonte (PF000020).;[EN] Les DIAGBOX® Racine & Gazon sont des kits conçus pour analyser conjointement les racines et les parties aériennes (via déchets de tonte). Cette double approche permet d'évaluer la présence de pathogènes à différents niveaux de la plante. Vous obtenez une vision globale de l'état sanitaire de votre pelouse. Rappel : Cette offre regroupe les kits Racine (PF000048) et Déchets de tonte (PF000020).;The DIAGBOX® Root & Lawn kits are designed to jointly analyze roots and aerial parts (via grass clippings). This dual approach allows you to assess the presence of pathogens at different levels of the plant. You get a global view of the health of your law;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.racine_gazon.kits.title;DiagBox Gazon;Kit combiné disponible;[EN] Kit combiné disponible;Combination kit available;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.racine_gazon.why_use.point1;DiagBox Gazon;Caractériser et quantifier votre risque global : Identifier les pathogènes sur gazon ET racines avant symptômes.;[EN] Caractériser et quantifier votre risque global : Identifier les pathogènes sur gazon ET racines avant symptômes.;Characterize and quantify your overall risk: Identify pathogens on lawns AND roots before symptoms.;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.racine_gazon.why_use.point2;DiagBox Gazon;Évaluation complète de l'efficacité des traitements : Suivre l'évolution post-intervention sur les deux compartiments.;[EN] Évaluation complète de l'efficacité des traitements : Suivre l'évolution post-intervention sur les deux compartiments.;Complete evaluation of treatment effectiveness: Monitor post-intervention progress in both compartments.;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.racine_gazon.why_use.point3;DiagBox Gazon;Suivi annuel complet : Contrôler l'efficacité des actions (biocontrôle; biostimulation) et surveiller la pression pathogène globale.;[EN] Suivi annuel complet : Contrôler l'efficacité des actions (biocontrôle; biostimulation) et surveiller la pression pathogène globale.;Complete annual monitoring: Check the effectiveness of actions (biocontrol; biostimulation) and monitor overall pathogen pressure.;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.racine_gazon.why_use.title;DiagBox Gazon;Pourquoi utiliser la DIAGBOX® Racine + Gazon ?;[EN] Pourquoi utiliser la DIAGBOX® Racine + Gazon ?;Why use the DIAGBOX® Root + Lawn?;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.sol.catchphrase;DiagBox Gazon;Parce que votre future pelouse mérite un sol sain pour bien démarrer.;[EN] Parce que votre future pelouse mérite un sol sain pour bien démarrer.;Because your future lawn deserves healthy soil to get off to a good start.;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.sol.description;DiagBox Gazon;Les DIAGBOX® Sol/Substrat sont des kits de prélèvement simples d'utilisation conçus pour analyser le sol situé sous le système racinaire de votre gazon. Ces analyses permettent d'identifier et de quantifier les pathogènes encore présents dans le substrat avant le plaquage. Vous anticipez ainsi les risques de contamination de votre future pelouse; et mettez en place des mesures préventives adaptées.;[EN] Les DIAGBOX® Sol/Substrat sont des kits de prélèvement simples d'utilisation conçus pour analyser le sol situé sous le système racinaire de votre gazon. Ces analyses permettent d'identifier et de quantifier les pathogènes encore présents dans le substrat avant le plaquage. Vous anticipez ainsi les risques de contamination de votre future pelouse; et mettez en place des mesures préventives adaptées.;DIAGBOX® Soil/Substrate are easy-to-use sampling kits designed to analyze the soil beneath your lawn's root system. These analyses allow you to identify and quantify pathogens still present in the substrate before planting. This allows you to anticipate t;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.sol.kits.title;DiagBox Gazon;Kits disponibles (Prélèvement Sol / Substrat);[EN] Kits disponibles (Prélèvement Sol / Substrat);Kits available (Soil / Substrate Sampling);;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.sol.why_use.point1;DiagBox Gazon;Caractériser et quantifier votre risque : Détecter les pathogènes dans le sol avant symptômes.;[EN] Caractériser et quantifier votre risque : Détecter les pathogènes dans le sol avant symptômes.;Characterize and quantify your risk: Detect pathogens in the soil before symptoms appear.;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.sol.why_use.point2;DiagBox Gazon;Diagnostic avant la pose : Vérifier l'absence de pathogènes résiduels avant un nouveau plaquage.;[EN] Diagnostic avant la pose : Vérifier l'absence de pathogènes résiduels avant un nouveau plaquage.;Pre-placement diagnosis: Check for residual pathogens before re-plating.;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.sol.why_use.title;DiagBox Gazon;Pourquoi utiliser la DIAGBOX® Sol / Substrat ?;[EN] Pourquoi utiliser la DIAGBOX® Sol / Substrat ?;Why use the DIAGBOX® Soil / Substrate?;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.subtitle;DiagBox Gazon;Des approches complètes pour comprendre et prévenir les risques biologiques sur le gazon;[EN] Des approches complètes pour comprendre et prévenir les risques biologiques sur le gazon;Comprehensive approaches to understanding and preventing biological risks on turf;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.sympto.catchphrase;DiagBox Gazon;Pour celles et ceux qui veulent comprendre l'origine des symptômes; pas seulement les masquer.;[EN] Pour celles et ceux qui veulent comprendre l'origine des symptômes; pas seulement les masquer.;For those who want to understand the origin of symptoms; not just mask them.;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.sympto.description;DiagBox Gazon;Les DIAGBOX® Gazon symptomatique sont des kits de prélèvement simples d'utilisation conçus pour prélever des échantillons de gazon présentant des symptômes. Grâce aux analyses associées; vous obtenez des résultats précis qui permettent de caractériser et quantifier les pathogènes responsables. Ces résultats vous fournissent une vue d'ensemble sur le pathogène principal et les pathogènes secondaires; afin de guider votre stratégie de traitement de manière globale et efficace; sans se limiter à la maladie principale.;[EN] Les DIAGBOX® Gazon symptomatique sont des kits de prélèvement simples d'utilisation conçus pour prélever des échantillons de gazon présentant des symptômes. Grâce aux analyses associées; vous obtenez des résultats précis qui permettent de caractériser et quantifier les pathogènes responsables. Ces résultats vous fournissent une vue d'ensemble sur le pathogène principal et les pathogènes secondaires; afin de guider votre stratégie de traitement de manière globale et efficace; sans se limiter à la maladie principale.;DIAGBOX® Symptomatic Turf are easy-to-use sampling kits designed to collect samples from symptomatic turf. The associated analyses provide accurate results that characterize and quantify the causative pathogens. These results provide you with an overview ;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.sympto.kits.title;DiagBox Gazon;Kits disponibles (Prélèvement Gazon Symptomatique);[EN] Kits disponibles (Prélèvement Gazon Symptomatique);Kits available (Symptomatic Lawn Sampling);;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.sympto.why_use.point1;DiagBox Gazon;Caractériser et quantifier les pathogènes présents : Identifier le pathogène principal; prendre en compte les pathogènes secondaires.;[EN] Caractériser et quantifier les pathogènes présents : Identifier le pathogène principal; prendre en compte les pathogènes secondaires.;Characterize and quantify the pathogens present: Identify the main pathogen; take into account secondary pathogens.;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.sympto.why_use.title;DiagBox Gazon;Pourquoi utiliser la DIAGBOX® Gazon Symptomatique ?;[EN] Pourquoi utiliser la DIAGBOX® Gazon Symptomatique ?;Why use the DIAGBOX® Symptomatic Lawn?;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.title;DiagBox Gazon;DIAGBOX® Gazon;[EN] DIAGBOX® Gazon;DIAGBOX® Lawn;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.toc.dechet_link;DiagBox Gazon TOC;Déchets de Tonte (Détection précoce);[EN] Déchets de Tonte (Détection précoce);Grass Cuttings (Early Detection);;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.toc.lingette_link;DiagBox Gazon TOC;Lingette (Action précoce);[EN] Lingette (Action précoce);Wipe (Early Action);;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.toc.plaquage_link;DiagBox Gazon TOC;Accompagnement Plaquage (Sécurisation);[EN] Accompagnement Plaquage (Sécurisation);Support for Plating (Securing);;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.toc.prices_link;DiagBox Gazon TOC;Voir les prix;[EN] Voir les prix;See prices;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.toc.questions_link;DiagBox Gazon TOC;Retour aux Questions;[EN] Retour aux Questions;Back to Questions;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.toc.racine_gazon_link;DiagBox Gazon TOC;Racine + Gazon (Vision globale);[EN] Racine + Gazon (Vision globale);Root + Grass (Global Vision);;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.toc.racine_link;DiagBox Gazon TOC;Racine (Diagnostic profond);[EN] Racine (Diagnostic profond);Root (Deep Diagnosis);;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.toc.sol_link;DiagBox Gazon TOC;Sol / Substrat (Avant plaquage);[EN] Sol / Substrat (Avant plaquage);Soil / Substrate (Before plating);;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.toc.sympto_link;DiagBox Gazon TOC;Gazon Symptomatique (Diagnostic);[EN] Gazon Symptomatique (Diagnostic);Symptomatic Lawn (Diagnosis);;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.toc.title;DiagBox Gazon TOC;Accès rapide aux types de kits :;[EN] Accès rapide aux types de kits :;Quick access to kit types:;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.types.dechet;DiagBox Gazon;Déchets de Tonte;[EN] Déchets de Tonte;Grass cuttings;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.types.lingette;DiagBox Gazon;Lingette;[EN] Lingette;Wipe;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.types.plaquage;DiagBox Gazon;Etat de santé complet – Accompagnement Plaquage;[EN] Etat de santé complet – Accompagnement Plaquage;Full Health Status – Plating Support;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.types.racine;DiagBox Gazon;Racine;[EN] Racine;Root;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.types.racine_gazon;DiagBox Gazon;Racine + Gazon;[EN] Racine + Gazon;Root + Grass;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.types.sol;DiagBox Gazon;Sol / Substrat;[EN] Sol / Substrat;Soil / Substrate;;;;;;;;;;;;;;;;;;;;;;;;;;;
diagbox.gazon.types.sympto;DiagBox Gazon;Gazon Symptomatique;[EN] Gazon Symptomatique;Symptomatic Lawn;;;;;;;;;;;;;;;;;;;;;;;;;;;
gazon.qna.q1_sub1;Gazon Q&A;Si la pyriculariose est la maladie la plus répandue dans votre région; ou si vous savez déjà que c'est le principal risque; vous pouvez faire une mesure uniquement sur cette cible; pour un coût très limité;[EN] Si la pyriculariose est la maladie la plus répandue dans votre région; ou si vous savez déjà que c'est le principal risque; vous pouvez faire une mesure uniquement sur cette cible; pour un coût très limité;If pyriculariose is the most common disease in your area; or you already know it is the main risk; you can measure only this target; at very limited cost.;;;;;;;;;;;;;;;;;;
gazon.qna.q1_sub2;Gazon Q&A;Si vous avez un doute sur la nature du risque; vous pouvez opter pour une analyse plus large sur des pathogènes ciblés;[EN] Si vous avez un doute sur la nature du risque; vous pouvez opter pour une analyse plus large sur des pathogènes ciblés;If you have any doubts about the nature of the risk; you can opt for a broader analysis on targeted pathogens;;;;;;;;;;;;;;;;;;;;;;;;
gazon.qna.q1_sub3;Gazon Q&A;Comment m'assurer que mon gazon n'est (plus) touché par aucun des pathogènes habituels;[EN] Comment m'assurer que mon gazon n'est (plus) touché par aucun des pathogènes habituels;How can I make sure my lawn is (no longer) affected by any of the usual pathogens?;;;;;;;;;;;;;;;;;;;;;;;;;;;
gazon.qna.q1_sub4;Gazon Q&A;Comment m'assurer que les racines ne sont pas (ou plus) non plus touchées ?;[EN] Comment m'assurer que les racines ne sont pas (ou plus) non plus touchées ?;How can I make sure that the roots are not (or are no longer) affected either?;;;;;;;;;;;;;;;;;;;;;;;;;;;
gazon.qna.q1_sub5;Gazon Q&A;Comment m'assurer que le sol n'est pas (ou plus) touché ?;[EN] Comment m'assurer que le sol n'est pas (ou plus) touché ?;How can I be sure that the ground is not (or is no longer) touched?;;;;;;;;;;;;;;;;;;;;;;;;;;;
gazon.qna.q1_title;Gazon Q&A;La pyriculariose circule dans ma région; que dois-je faire ?;[EN] La pyriculariose circule dans ma région; que dois-je faire ?;Pyriculariosis is circulating in my area; what should I do?;;;;;;;;;;;;;;;;;;;;;;;;
gazon.qna.q2_sub1;Gazon Q&A;Comment caractériser le pathogène principal et les pathogènes secondaires présents pour savoir comment réagir ?;[EN] Comment caractériser le pathogène principal et les pathogènes secondaires présents pour savoir comment réagir ?;How to characterize the main pathogen and the secondary pathogens present to know how to react?;;;;;;;;;;;;;;;;;;;;;;;;;;;
gazon.qna.q2_sub2;Gazon Q&A;Comment savoir si mes racines sont touchées ?;[EN] Comment savoir si mes racines sont touchées ?;How do I know if my roots are affected?;;;;;;;;;;;;;;;;;;;;;;;;;;;
gazon.qna.q2_sub3;Gazon Q&A;Comment savoir si mon sol est touché ?;[EN] Comment savoir si mon sol est touché ?;How do I know if my soil is affected?;;;;;;;;;;;;;;;;;;;;;;;;;;;
gazon.qna.q2_title;Gazon Q&A;Je ne vois pas de symptômes; mais je veux des conseils pour planifier mes traitements;[EN] Je ne vois pas de symptômes; mais je veux des conseils pour planifier mes traitements;I don't see any symptoms; but I want advice on planning my treatments;;;;;;;;;;;;;;;;;;;;;;;;
gazon.qna.q3_title;Gazon Q&A;J'ai détecté des symptômes; comment agir avec pertinence ?;[EN] J'ai détecté des symptômes; comment agir avec pertinence ?;I have detected symptoms; how can I act appropriately?;;;;;;;;;;;;;;;;;;;;;;;;
gazon.qna.q4_title;Gazon Q&A;Je vais poser un nouveau gazon (plaquage); comment réduire les risques à moyen-long terme ?;[EN] Je vais poser un nouveau gazon (plaquage); comment réduire les risques à moyen-long terme ?;I am going to lay new turf (paving); how can I reduce the risks in the medium to long term?;;;;;;;;;;;;;;;;;;;;;;;;
gazon.qna.q5_title;Gazon Q&A;J'ai d'autres questions;[EN] J'ai d'autres questions;I have other questions;;;;;;;;;;;;;;;;;;;;;;;;;;;
contact.form.company;Contact;Entreprise;[EN] Entreprise;Company;;;;;;;;;;;;;;;;;;;;;;;;;;;
contact.form.email;Contact;Email;[EN] Email;E-mail;;;;;;;;;;;;;;;;;;;;;;;;;;;
contact.form.message;Contact;Votre message;[EN] Your message;Message;;;;;;;;;;;;;;;;;;;;;;;;;;;
contact.form.name;Contact;Nom;[EN] Nom;Name;;;;;;;;;;;;;;;;;;;;;;;;;;;
contact.form.phone;Contact;Téléphone;[EN] Téléphone;Phone;;;;;;;;;;;;;;;;;;;;;;;;;;;
contact.form.submit;Contact;Envoyer;[EN] Envoyer;Send;;;;;;;;;;;;;;;;;;;;;;;;;;;
contact.title;Contact;Contact;[EN] Contact;Contact;;;;;;;;;;;;;;;;;;;;;;;;;;;
legal.section1_address1;Legal Page;335 rue Louis Lépine – 34000 Montpellier;[EN] 335 rue Louis Lépine – 34000 Montpellier;335 rue Louis Lépine – 34000 Montpellier;;;;;;;;;;;;;;;;;;;;;;;;;;;
legal.section1_address2;Legal Page;Bureau de IAGE Paris : 42 avenue Raymond Poincaré – 75116 Paris;[EN] Bureau de IAGE Paris : 42 avenue Raymond Poincaré – 75116 Paris;IAGE Paris office: 42 avenue Raymond Poincaré – 75116 Paris;;;;;;;;;;;;;;;;;;;;;;;;;;;
legal.section1_company_details;Legal Page;SASU au capital de 190 700;00 €;[EN] SASU au capital de 190 700;00 €;SASU with capital of €190;700.00;;;;;;;;;;;;;;;;;;;;;;;;
legal.section1_company_name;Legal Page;Le présent site est édité par IAGE - Ingénierie et Analyse en Génétique Environnementale;[EN] Le présent site est édité par IAGE - Ingénierie et Analyse en Génétique Environnementale;This site is published by IAGE - Ingénierie et Analyse en Génétique Environnementale;;;;;;;;;;;;;;;;;;;;;;;;;;;
legal.section1_contact_email;Legal Page;contact@iage-france.com;[EN] contact@iage-france.com;contact@iage-france.com;;;;;;;;;;;;;;;;;;;;;;;;;;;
legal.section1_contact_intro;Legal Page;Contact :;[EN] Contact :;Contact :;;;;;;;;;;;;;;;;;;;;;;;;;;;
legal.section1_contact_phone;Legal Page;(standard) 04 48 79 84 91;[EN] (standard) 04 48 79 84 91;(standard) 04 48 79 84 91;;;;;;;;;;;;;;;;;;;;;;;;;;;
legal.section1_director_details;Legal Page;;[EN] ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
legal.section1_director_intro;Legal Page;Directeur de la publication : Monsieur Franz Durandet; Président;[EN] Directeur de la publication : Monsieur Franz Durandet; Président;Publication Director: Mr. Franz Durandet; President;;;;;;;;;;;;;;;;;;;;;;;;
legal.section1_intro;Legal Page;;[EN] ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
legal.section1_rcs;Legal Page;Immatriculée au Registre du Commerce et des Sociétés de Montpellier sous le numéro 828 570 168 00033;[EN] Immatriculée au Registre du Commerce et des Sociétés de Montpellier sous le numéro 828 570 168 00033;Registered in the Montpellier Trade and Companies Register under number 828 570 168 00033;;;;;;;;;;;;;;;;;;;;;;;;;;;
legal.section1_title;Legal Page;1. Éditeur du site;[EN] 1. Éditeur du site;1. Site Editor;;;;;;;;;;;;;;;;;;;;;;;;;;;
legal.section1_vat;Legal Page;Numéro de TVA intracommunautaire : FR59828570168;[EN] Numéro de TVA intracommunautaire : FR59828570168;Intra-community VAT number: FR59828570168;;;;;;;;;;;;;;;;;;;;;;;;;;;
legal.section2_host_address;Legal Page;440 N Barranca Ave #4133 Covina - CA 91723 – USA;[EN] 440 N Barranca Ave #4133 Covina - CA 91723 – USA;440 N Barranca Ave #4133 Covina - CA 91723 – USA;;;;;;;;;;;;;;;;;;;;;;;;;;;
legal.section2_host_name;Legal Page;Vercel Inc.;[EN] Vercel Inc.;Vercel Inc.;;;;;;;;;;;;;;;;;;;;;;;;;;;
legal.section2_host_site;Legal Page;Site : https://vercel.com;[EN] Site : https://vercel.com;Website: https://vercel.com;;;;;;;;;;;;;;;;;;;;;;;;;;;
legal.section2_intro;Legal Page;Le site est hébergé par :;[EN] Le site est hébergé par :;The site is hosted by:;;;;;;;;;;;;;;;;;;;;;;;;;;;
legal.section2_title;Legal Page;2. Hébergement;[EN] 2. Hébergement;2. Accommodation;;;;;;;;;;;;;;;;;;;;;;;;;;;
legal.section3_content1;Legal Page;Tous les contenus présents sur ce site; incluant de façon non limitative les textes; images; graphismes; logos; icônes; vidéos; sons; logiciels; sont la propriété exclusive de la société IAGE ou sont utilisés avec l'autorisation de leurs auteurs.;[EN] Tous les contenus présents sur ce site; incluant de façon non limitative les textes; images; graphismes; logos; icônes; vidéos; sons; logiciels; sont la propriété exclusive de la société IAGE ou sont utilisés avec l'autorisation de leurs auteurs.;All content on this site; including but not limited to text; images; graphics; logos; icons; videos; sounds; software; are the exclusive property of IAGE or are used with the authorization of their authors.
legal.section3_content2;Legal Page;Toute reproduction; représentation; modification; publication; adaptation; totale ou partielle; des éléments du site; quel que soit le moyen ou le procédé utilisé; est interdite sauf autorisation écrite préalable de IAGE.;[EN] Toute reproduction; représentation; modification; publication; adaptation; totale ou partielle; des éléments du site; quel que soit le moyen ou le procédé utilisé; est interdite sauf autorisation écrite préalable de IAGE.;Any reproduction; representation; modification; publication; adaptation; in whole or in part; of the elements of the site; whatever the means or process used; is prohibited without the prior written authorization of IAGE.;;;
legal.section3_title;Legal Page;3. Propriété intellectuelle;[EN] 3. Propriété intellectuelle;3. Intellectual property;;;;;;;;;;;;;;;;;;;;;;;;;;;
